DATE,APU000074717
01/01/1998,1.25
01/02/1998,1.22
01/03/1998,1.192
01/04/1998,1.184
01/05/1998,1.19
01/06/1998,1.185
01/07/1998,1.168
01/08/1998,1.154
01/09/1998,1.138
01/10/1998,1.148
01/11/1998,1.142
01/12/1998,1.112
01/01/1999,1.102
01/02/1999,1.094
01/03/1999,1.104
01/04/1999,1.178
01/05/1999,1.174
01/06/1999,1.178
01/07/1999,1.213
01/08/1999,1.241
01/09/1999,1.28
01/10/1999,1.305
01/11/1999,1.326
01/12/1999,1.357
01/01/2000,1.392
01/02/2000,1.564
01/03/2000,1.587
01/04/2000,1.526
01/05/2000,1.512
01/06/2000,1.527
01/07/2000,1.527
01/08/2000,1.524
01/09/2000,1.683
01/10/2000,1.698
01/11/2000,1.696
01/12/2000,1.689
01/01/2001,1.643
01/02/2001,1.633
01/03/2001,1.558
01/04/2001,1.555
01/05/2001,1.594
01/06/2001,1.598
01/07/2001,1.522
01/08/2001,1.497
01/09/2001,1.573
01/10/2001,1.497
01/11/2001,1.411
01/12/2001,1.327
01/01/2002,1.299
01/02/2002,1.292
01/03/2002,1.33
01/04/2002,1.408
01/05/2002,1.437
01/06/2002,1.423
01/07/2002,1.421
01/08/2002,1.431
01/09/2002,1.482
01/10/2002,1.531
01/11/2002,1.535
01/12/2002,1.518
01/01/2003,1.574
01/02/2003,1.73
01/03/2003,1.873
01/04/2003,1.759
01/05/2003,1.635
01/06/2003,1.591
01/07/2003,1.581
01/08/2003,1.619
01/09/2003,1.608
01/10/2003,1.587
01/11/2003,1.594
01/12/2003,1.593
01/01/2004,1.655
01/02/2004,1.705
01/03/2004,1.75
01/04/2004,1.823
01/05/2004,1.896
01/06/2004,1.864
01/07/2004,1.854
01/08/2004,1.932
01/09/2004,1.99
01/10/2004,2.207
01/11/2004,2.245
01/12/2004,2.129
01/01/2005,2.058
01/02/2005,2.116
01/03/2005,2.308
01/04/2005,2.426
01/05/2005,2.349
01/06/2005,2.373
01/07/2005,2.482
01/08/2005,2.615
01/09/2005,2.944
01/10/2005,3.193
01/11/2005,2.794
01/12/2005,2.582
01/01/2006,2.615
01/02/2006,2.603
01/03/2006,2.672
01/04/2006,2.834
01/05/2006,3.003
01/06/2006,2.995
01/07/2006,3.007
01/08/2006,3.097
01/09/2006,2.914
01/10/2006,2.646
01/11/2006,2.652
01/12/2006,2.727
01/01/2007,2.645
01/02/2007,2.612
01/03/2007,2.744
01/04/2007,2.916
01/05/2007,2.912
01/06/2007,2.903
01/07/2007,2.934
01/08/2007,2.934
01/09/2007,2.994
01/10/2007,3.133
01/11/2007,3.422
01/12/2007,3.423
01/01/2008,3.413
01/02/2008,3.45
01/03/2008,3.918
01/04/2008,4.131
01/05/2008,4.445
01/06/2008,4.788
01/07/2008,4.794
01/08/2008,4.47
01/09/2008,4.177
01/10/2008,3.802
01/11/2008,3.006
01/12/2008,2.585
01/01/2009,2.414
01/02/2009,2.341
01/03/2009,2.179
01/04/2009,2.276
01/05/2009,2.299
01/06/2009,2.567
01/07/2009,2.584
01/08/2009,2.67
01/09/2009,2.666
01/10/2009,2.707
01/11/2009,2.833
01/12/2009,2.811
01/01/2010,2.901
01/02/2010,2.846
01/03/2010,2.928
01/04/2010,3.05
01/05/2010,3.097
01/06/2010,2.988
01/07/2010,2.952
01/08/2010,2.97
01/09/2010,2.969
01/10/2010,3.086
01/11/2010,3.153
01/12/2010,3.269
01/01/2011,3.373
01/02/2011,3.544
01/03/2011,3.929
01/04/2011,4.114
01/05/2011,4.119
01/06/2011,3.981
01/07/2011,3.953
01/08/2011,3.912
01/09/2011,3.9
01/10/2011,3.859
01/11/2011,3.957
01/12/2011,3.874
01/01/2012,3.884
01/02/2012,3.981
01/03/2012,4.166
01/04/2012,4.169
01/05/2012,4.053
01/06/2012,3.808
01/07/2012,3.748
01/08/2012,3.956
01/09/2012,4.128
01/10/2012,4.124
01/11/2012,4.022
01/12/2012,3.95
01/01/2013,3.922
01/02/2013,4.092
01/03/2013,4.085
01/04/2013,3.959
01/05/2013,3.886
01/06/2013,3.861
01/07/2013,3.863
01/08/2013,3.897
01/09/2013,3.955
01/10/2013,3.888
01/11/2013,3.833
01/12/2013,3.852
01/01/2014,3.872
01/02/2014,3.947
01/03/2014,3.993
01/04/2014,3.969
01/05/2014,3.932
01/06/2014,3.919
01/07/2014,3.896
01/08/2014,3.84
01/09/2014,3.801
01/10/2014,3.676
01/11/2014,3.615
01/12/2014,3.406
01/01/2015,2.964
01/02/2015,2.875
01/03/2015,2.933
01/04/2015,2.84
01/05/2015,2.906
01/06/2015,2.91
01/07/2015,2.85
01/08/2015,2.692
01/09/2015,2.566
01/10/2015,2.532
01/11/2015,2.493
01/12/2015,2.378
01/01/2016,2.193
01/02/2016,2.04
01/03/2016,2.088
01/04/2016,2.158
01/05/2016,2.274
01/06/2016,2.384
01/07/2016,2.361
01/08/2016,2.333
01/09/2016,2.37
01/10/2016,2.421
01/11/2016,2.421
01/12/2016,2.456
01/01/2017,2.547
01/02/2017,2.537
01/03/2017,2.541
01/04/2017,2.548
01/05/2017,2.537
01/06/2017,2.516
01/07/2017,2.477
01/08/2017,2.544
01/09/2017,2.742
01/10/2017,2.761
01/11/2017,2.873
01/12/2017,2.886
01/01/2018,2.965
01/02/2018,3.007
01/03/2018,2.973
01/04/2018,3.051
01/05/2018,3.197
01/06/2018,3.245
01/07/2018,3.226
01/08/2018,3.211
01/09/2018,3.243
01/10/2018,3.335
01/11/2018,3.292
01/12/2018,3.155
01/01/2019,3.015
01/02/2019,2.985
01/03/2019,3.063
01/04/2019,3.129
01/05/2019,3.189
01/06/2019,3.104
01/07/2019,3.078
01/08/2019,3.03
01/09/2019,3.033
01/10/2019,3.086
01/11/2019,3.09
01/12/2019,3.089
01/01/2020,3.078
01/02/2020,2.98
01/03/2020,2.818
01/04/2020,2.605
01/05/2020,2.515
01/06/2020,2.508
01/07/2020,2.514
01/08/2020,2.503
01/09/2020,2.496
01/10/2020,2.46
01/11/2020,2.441
01/12/2020,2.543
01/01/2021,2.661
01/02/2021,2.802
01/03/2021,3.076
01/04/2021,3.126
01/05/2021,3.2
01/06/2021,3.272
01/07/2021,3.324
01/08/2021,3.353
01/09/2021,3.366
01/10/2021,3.55
01/11/2021,3.695
01/12/2021,3.661
01/01/2022,3.675
01/02/2022,3.899
01/03/2022,4.818
01/04/2022,5.119
01/05/2022,5.517
01/06/2022,5.758
01/07/2022,5.637
01/08/2022,5.165
01/09/2022,5.046
01/10/2022,5.232
01/11/2022,5.349
01/12/2022,4.913
01/01/2023,4.684
01/02/2023,4.587
01/03/2023,4.359
01/04/2023,4.215
01/05/2023,4.074
01/06/2023,3.941
01/07/2023,3.91
