DATE,MJFUELUSGULF
01/04/1990,0.54
01/05/1990,0.515
01/06/1990,0.494
01/07/1990,0.535
01/08/1990,0.791
01/09/1990,1.012
01/10/1990,1.196
01/11/1990,0.971
01/12/1990,0.803
01/01/1991,0.741
01/02/1991,0.637
01/03/1991,0.558
01/04/1991,0.552
01/05/1991,0.569
01/06/1991,0.547
01/07/1991,0.586
01/08/1991,0.623
01/09/1991,0.635
01/10/1991,0.671
01/11/1991,0.645
01/12/1991,0.522
01/01/1992,0.509
01/02/1992,0.543
01/03/1992,0.514
01/04/1992,0.543
01/05/1992,0.579
01/06/1992,0.615
01/07/1992,0.611
01/08/1992,0.59
01/09/1992,0.623
01/10/1992,0.621
01/11/1992,0.561
01/12/1992,0.544
01/01/1993,0.534
01/02/1993,0.553
01/03/1993,0.558
01/04/1993,0.551
01/05/1993,0.553
01/06/1993,0.526
01/07/1993,0.494
01/08/1993,0.501
01/09/1993,0.535
01/10/1993,0.568
01/11/1993,0.533
01/12/1993,0.446
01/01/1994,0.528
01/02/1994,0.501
01/03/1994,0.451
01/04/1994,0.469
01/05/1994,0.472
01/06/1994,0.493
01/07/1994,0.509
01/08/1994,0.498
01/09/1994,0.49
01/10/1994,0.509
01/11/1994,0.513
01/12/1994,0.487
01/01/1995,0.472
01/02/1995,0.467
01/03/1995,0.449
01/04/1995,0.5
01/05/1995,0.511
01/06/1995,0.478
01/07/1995,0.467
01/08/1995,0.496
01/09/1995,0.513
01/10/1995,0.502
01/11/1995,0.524
01/12/1995,0.553
01/01/1996,0.55
01/02/1996,0.557
01/03/1996,0.586
01/04/1996,0.617
01/05/1996,0.557
01/06/1996,0.516
01/07/1996,0.556
01/08/1996,0.615
01/09/1996,0.682
01/10/1996,0.703
01/11/1996,0.696
01/12/1996,0.693
01/01/1997,0.68
01/02/1997,0.619
01/03/1997,0.557
01/04/1997,0.541
01/05/1997,0.549
01/06/1997,0.523
01/07/1997,0.536
01/08/1997,0.559
01/09/1997,0.541
01/10/1997,0.571
01/11/1997,0.549
01/12/1997,0.496
01/01/1998,0.476
01/02/1998,0.449
01/03/1998,0.413
01/04/1998,0.426
01/05/1998,0.416
01/06/1998,0.389
01/07/1998,0.386
01/08/1998,0.372
01/09/1998,0.42
01/10/1998,0.42
01/11/1998,0.371
01/12/1998,0.304
01/01/1999,0.334
01/02/1999,0.309
01/03/1999,0.378
01/04/1999,0.43
01/05/1999,0.415
01/06/1999,0.44
01/07/1999,0.512
01/08/1999,0.564
01/09/1999,0.614
01/10/1999,0.595
01/11/1999,0.661
01/12/1999,0.701
01/01/2000,0.781
01/02/2000,0.78
01/03/2000,0.771
01/04/2000,0.719
01/05/2000,0.762
01/06/2000,0.785
01/07/2000,0.796
01/08/2000,0.9
01/09/2000,1.017
01/10/2000,0.982
01/11/2000,1.028
01/12/2000,0.863
01/01/2001,0.87
01/02/2001,0.815
01/03/2001,0.748
01/04/2001,0.77
01/05/2001,0.821
01/06/2001,0.767
01/07/2001,0.711
01/08/2001,0.764
01/09/2001,0.738
01/10/2001,0.622
01/11/2001,0.543
01/12/2001,0.515
01/01/2002,0.533
01/02/2002,0.551
01/03/2002,0.63
01/04/2002,0.669
01/05/2002,0.666
01/06/2002,0.653
01/07/2002,0.691
01/08/2002,0.722
01/09/2002,0.8
01/10/2002,0.79
01/11/2002,0.708
01/12/2002,0.811
01/01/2003,0.887
01/02/2003,1.055
01/03/2003,0.893
01/04/2003,0.743
01/05/2003,0.714
01/06/2003,0.748
01/07/2003,0.78
01/08/2003,0.823
01/09/2003,0.738
01/10/2003,0.82
01/11/2003,0.831
01/12/2003,0.876
01/01/2004,0.998
01/02/2004,0.933
01/03/2004,0.947
01/04/2004,0.973
01/05/2004,1.092
01/06/2004,1.032
01/07/2004,1.145
01/08/2004,1.227
01/09/2004,1.362
01/10/2004,1.52
01/11/2004,1.347
01/12/2004,1.223
01/01/2005,1.334
01/02/2005,1.334
01/03/2005,1.562
01/04/2005,1.573
01/05/2005,1.471
01/06/2005,1.654
01/07/2005,1.665
01/08/2005,1.874
01/09/2005,2.232
01/10/2005,2.398
01/11/2005,1.698
01/12/2005,1.727
01/01/2006,1.816
01/02/2006,1.754
01/03/2006,1.875
01/04/2006,2.074
01/05/2006,2.07
01/06/2006,2.081
01/07/2006,2.154
01/08/2006,2.133
01/09/2006,1.81
01/10/2006,1.739
01/11/2006,1.733
01/12/2006,1.81
01/01/2007,1.654
01/02/2007,1.74
01/03/2007,1.846
01/04/2007,2.036
01/05/2007,2.044
01/06/2007,2.099
01/07/2007,2.137
01/08/2007,2.092
01/09/2007,2.265
01/10/2007,2.372
01/11/2007,2.673
01/12/2007,2.601
01/01/2008,2.605
01/02/2008,2.728
01/03/2008,3.124
01/04/2008,3.365
01/05/2008,3.738
01/06/2008,3.878
01/07/2008,3.886
01/08/2008,3.271
01/09/2008,3.375
01/10/2008,2.315
01/11/2008,1.88
01/12/2008,1.375
01/01/2009,1.469
01/02/2009,1.259
01/03/2009,1.268
01/04/2009,1.369
01/05/2009,1.488
01/06/2009,1.805
01/07/2009,1.712
01/08/2009,1.885
01/09/2009,1.749
01/10/2009,1.942
01/11/2009,1.986
01/12/2009,1.979
01/01/2010,2.052
01/02/2010,1.989
01/03/2010,2.108
01/04/2010,2.243
01/05/2010,2.063
01/06/2010,2.058
01/07/2010,2.019
01/08/2010,2.083
01/09/2010,2.114
01/10/2010,2.248
01/11/2010,2.323
01/12/2010,2.453
01/01/2011,2.619
01/02/2011,2.839
01/03/2011,3.125
01/04/2011,3.267
01/05/2011,3.085
01/06/2011,3.046
01/07/2011,3.131
01/08/2011,3.008
01/09/2011,2.948
01/10/2011,2.966
01/11/2011,3.046
01/12/2011,2.873
01/01/2012,3.087
01/02/2012,3.207
01/03/2012,3.256
01/04/2012,3.226
01/05/2012,2.974
01/06/2012,2.678
01/07/2012,2.892
01/08/2012,3.156
01/09/2012,3.191
01/10/2012,3.111
01/11/2012,2.96
01/12/2012,2.94
01/01/2013,3.091
01/02/2013,3.218
01/03/2013,2.969
01/04/2013,2.808
01/05/2013,2.725
01/06/2013,2.769
01/07/2013,2.894
01/08/2013,3.003
01/09/2013,2.934
01/10/2013,2.885
01/11/2013,2.83
01/12/2013,2.955
01/01/2014,2.921
01/02/2014,2.965
01/03/2014,2.89
01/04/2014,2.888
01/05/2014,2.868
01/06/2014,2.883
01/07/2014,2.817
01/08/2014,2.839
01/09/2014,2.729
01/10/2014,2.46
01/11/2014,2.297
01/12/2014,1.801
01/01/2015,1.496
01/02/2015,1.766
01/03/2015,1.629
01/04/2015,1.702
01/05/2015,1.849
01/06/2015,1.732
01/07/2015,1.549
01/08/2015,1.389
01/09/2015,1.395
01/10/2015,1.391
01/11/2015,1.326
01/12/2015,1.082
01/01/2016,0.93
01/02/2016,0.973
01/03/2016,1.069
01/04/2016,1.147
01/05/2016,1.299
01/06/2016,1.382
01/07/2016,1.272
01/08/2016,1.295
01/09/2016,1.319
01/10/2016,1.457
01/11/2016,1.356
01/12/2016,1.491
01/01/2017,1.514
01/02/2017,1.547
01/03/2017,1.445
01/04/2017,1.51
01/05/2017,1.412
01/06/2017,1.295
01/07/2017,1.417
01/08/2017,1.561
01/09/2017,1.8
01/10/2017,1.659
01/11/2017,1.76
01/12/2017,1.817
01/01/2018,1.952
01/02/2018,1.849
01/03/2018,1.858
01/04/2018,2.015
01/05/2018,2.155
01/06/2018,2.09
01/07/2018,2.098
01/08/2018,2.118
01/09/2018,2.189
01/10/2018,2.249
01/11/2018,1.945
01/12/2018,1.696
01/01/2019,1.784
01/02/2019,1.914
01/03/2019,1.902
01/04/2019,1.977
01/05/2019,1.972
01/06/2019,1.817
01/07/2019,1.913
01/08/2019,1.8
01/09/2019,1.874
01/10/2019,1.861
01/11/2019,1.824
01/12/2019,1.893
01/01/2020,1.77
01/02/2020,1.509
01/03/2020,0.953
01/04/2020,0.606
01/05/2020,0.686
01/06/2020,0.983
01/07/2020,1.084
01/08/2020,1.112
01/09/2020,1.006
01/10/2020,1.047
01/11/2020,1.133
01/12/2020,1.324
01/01/2021,1.42
01/02/2021,1.601
01/03/2021,1.661
01/04/2021,1.669
01/05/2021,1.752
01/06/2021,1.857
01/07/2021,1.887
01/08/2021,1.817
01/09/2021,2.003
01/10/2021,2.296
01/11/2021,2.193
01/12/2021,2.095
01/01/2022,2.446
01/02/2022,2.682
01/03/2022,3.495
01/04/2022,3.914
01/05/2022,3.902
01/06/2022,4.12
01/07/2022,3.478
01/08/2022,3.339
01/09/2022,3.262
01/10/2022,3.715
01/11/2022,3.16
01/12/2022,2.897
01/01/2023,3.542
01/02/2023,2.79
01/03/2023,2.679
01/04/2023,2.374
01/05/2023,2.173
01/06/2023,2.25
01/07/2023,2.488
